标题,内容
到底是半月板损伤还是骨性关节炎?,你好，依据你说的目前情况。你因为喜欢跳舞，现在出现膝关节无力，关节内侧疼痛。像这种情况，初步怀疑应该是骨性关节炎的可能。因为膝关节内侧间隙磨损后出现的症状。
大腿撞伤，引发膝部酸痛,你好，欢迎你来提问，很高兴能够为你回答问题，根据你提供的情况来看欺负受伤以后造成的疼痛，应该及时到医院进行拍片检查是否有骨折和半月板的损伤。建议暂时应该自动进行休息。可以局部给予热敷理疗，减轻局部疼痛症状。
,
"/求助/外踝骨骨折55天,仍不能正常走路",指导意见：
"几年前开始左脚面偶尔有些疼病,后来发展到有时脚脖疼",建议平时注意保暖和加强补钙，避免着凉，减少活动量， 
关节炎如何治疗,可以口服一些消炎去疼痛的药物。平时注意保暖和加强补钙。 
"每隔几天髋关节就会痛,睡觉的时候特别痛","你好：建议你拍个骨盆X线片,在化验一下B27,看是不是强脊炎. "
急，脚踝疼但没有肿，怎么回事？谢谢！,"你好是劳累引起的.可局部热敷,注意休息.建议最好采用外用药物治疗，可外敷舒筋活血,消肿止痛,活血散淤,祛风散寒的传统中药治疗. "
脚踝软组织受伤四个星期未好,此症一般是由于陈旧性创伤引发的韧带粘连（受伤一周以上就可以理解为陈旧性创伤），针对此症，建议外敷徐氏骨刺消治疗，该药主要由苍耳、律草、烧酒、冰片等天然草药构成，具有消肿止痛、软化疳结、活血化淤、通经活络的功能，主要对：骨刺、肩周炎、腰椎间盘突出、颈椎疼痛、骨质增生；对网球肘、滑囊炎、膝盖积液，因扭伤、外伤造成的肌肉、韧带水肿、萎缩、硬结等症状有很好的治疗效果。用此药将粘连的部位分离开，经络通畅了，养分供应自然充足，症状也就随之消失了。 
我能再站起来吗,你好，比较困难，坚持补钙试试。 
"左脚扭伤了,现在好像脚骨头向里凸,走路时有些难受",你好，根据你的情况，如果拍片排除骨折的话，就是属于软组织损伤了。这个情况恢复起来也就比较快了。可以用一下外用药配上一些治疗跌打损伤的药物来进行治疗。如云南白药气雾剂、三七伤片、跌打七厘片等药物都是可以选择的。注意尽量减少活动。祝你早日康复。
请教骨科医师，,
小儿两腿不等长，相差5厘米，什么年龄时做肢体延长手,你好。18岁以后，骨骺线闭合，停止生长后手术最好。 
半月板全切手术后膝盖总是疼痛-急,"你好.是软组织损伤还没有恢复.建议最好采用外用药物治疗，可外敷舒筋活血,消肿止痛,活血散淤,祛风散寒的传统中医外科膏药治疗.""膏药外敷治疗，局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能，促进功能恢复而达到快速治愈目地。 "
大腿骨折后打了钢板，多久可以下地走路？,大腿骨折以后打了钢板想要下地走路的话，患者需要等到骨折位置恢复差不多的时候才可以，大概时间是在三个月左右，不过患者在恢复两个月左右的时候，可以拄着拐杖下地走路，拄着拐杖可以减轻骨折位置压力，在骨折位置没有恢复以前，尽量不要让受伤的腿受力，不然会影响骨折位置恢复。
脚后根骨质增生,足跟的问题，又可以称作：跟腱炎，内服药是肯定没什么效果的，因为该症状一般出现在老年人身上，而老年人经络一般均不太通畅，所以内服药很难通过气血流通到达病灶部位，故此效果不太好。而外敷药，由于那个部位的皮很硬（又称作死皮），所以外敷药也很难打透这层死皮到达患处。洋洋洒洒说了这么多，唯一的重点就是希望你不要乱花钱，给你省点小银子。治疗此症，用白醋泡干辣椒(一斤白醋泡2两干辣椒，干辣椒要掰碎浸泡)，至少浸泡一周后（浸泡的时间越长效果越好），涂抹患处，每日三到五次，每次10分钟左右，大概20天左右就不再疼了。 
股骨&#39048;骨折，我很焦急,"你好股骨颈骨折一般愈合需要半年以上,一年以后还有股骨头坏死发生,尽量少负重活动,空心钉能取,但必须骨折愈合好 "
"今天从梯子滑下,脚后跟着地,现在脚不着力没感觉,就",你好！建议你拍片检查，拍跟骨侧、轴位片，以除外骨折的原因。上述分析和意见供你参考！希望可以帮你解决问题！ 
"脚后跟总会突然疼,厉害的时候有红肿现象,有时左脚有时右脚",建议最好是加强补钙和注意保暖，注意饮食。通过中医的方法进行治疗是非常好的。最好是做适当的按摩和热敷，效果挺好的，最好再配合中医的膏药叫做百年神帖的进行巩固治疗。 
"我右腿感觉无力,有点胀胀的感觉","你这是典型腰腿综合症，是痰湿停留引起疼痛,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最好中医认为所有的痛都是风寒湿痹，痰湿，於血停留（增生，肿块，肥大，风湿都属於的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化淤、促使气血重新组合的功效)。 "
"十岁少年脚趾骨折后,恢复中出现受伤脚和腿比另一只正",您现在已经术后多长时间，如果骨折术后刚刚恢复的话，小腿比较细是正常的，这属于废用性的肌肉萎缩。待到活动灵活后慢慢锻炼，都会恢复到原来的水平。
"６３,坐一个小时再站起来,左脚后跟压迫式疼痛（一走路就疼","是劳损或受伤，受凉转成风湿，痰湿停留於阻经络不通引起疼痛,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最好中医认为所有的痛都是风寒湿痹，痰湿，於血停留（增生，肿块，肥大，风湿都属於的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化淤、促使气血重新组合的功效)。 "
脚趾关节痛,建议检查血尿酸，痛风的可能性比较大。 
骨折处疼痛正常吗？,您这个有脚内踝的这个骨折刚刚两个多月最好不要大幅度的去活动，请问有没有复查？骨痂形成的怎么样？这种情况锻炼，如果过度很可能就会出现疼痛的，一般时候需要100天左右才能大幅度的活动，还得看恢复的情况来定。
滑囊炎为什么两个月还没好?,"在关节附近的皮肤与皮下骨骼之间，或在腱与骨骼间有一种充满润滑液的软囊，可使身体组织相互间在活动时的摩擦减到最小。如果滑囊受到过重的压力，或是受到关节或关节附近组织损伤的刺激，就会发炎，形成滑囊炎。传统中医外科膏药贴敷可治疗。传统中医外科膏药是一种传统黑膏药,.膏药外敷治疗，局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能从而增进关节及周围组织的血液循环，，改善营养状态，减少炎症渗出，促进关节液吸收，以解除关节僵硬、水肿、疼痛症状。促进功能恢复而达到治愈目地。既避免了单服止痛药引起胃肠不适的弊端，又无手术治疗痛苦及术后并发症的发生,不影响正常生活. "
"我妈妈的脚后跟底板疼,走路多了就疼的厉害",你好，根据你所描述的这种情况来看，有可能是由于跟痛症而导致的这种疼痛症状的发生，这种情况下个人建议可以在疼痛的部位进行神经阻滞治疗
脚后跟肌腱断裂,您好，您父亲的情况可以恢复，恢复的时间大约在3-6个月；饮食没有特殊要求，正常均衡饮食。身体其它部位可以做适当的活动；大腿可以按摩；拆石膏的时间大约是术后4-6周，具体时间请按医生医嘱执行。 
"昨天跳起来后脚心踩一异物,今天这脚已经不能着地",你好，你的这种情况，可能是软组织损伤的表现，建议要营养均衡，保持好情绪，可以适当的休息，局部用一点云南白药喷雾剂，也可以口服三七片。
请问脚后跟特别痛是怎么回事?,你好，请问孩子现在多大岁数，当时是怎么受到的外伤，现在还有什么其他不舒服没有，现在考虑可能右小腿活动量少，肌肉萎缩，右脚可能是软组织水肿造成的，估计恢复需要半年时间
关于腿伤康复的疑问,你好，考虑是因为肌肉损伤后引起的肌肉结节，建议局部热敷、按摩，口服舒筋活血药进行治疗。只要采取积极的治疗措施是不会影响以后的走路的。 
会影响走路吗？,
外踝骨骨折至今已50天了，还不能正常走路~~~,"你好，这和骨折的恢复有关，除了用热水洗脚,经常局部按摩。还建议你服用专业的接骨续筋,消肿止痛，舒筋活络,活血化瘀药物八仙接骨宝治疗,可以帮助骨折促进骨痂(骨头)快速生长,提前愈合恢复的快些. "
脚扭伤了好痛就是不见肿,"减少活动量，避免着凉，最好加强补钙非常重要，平时多吃新鲜的水果和蔬菜，补充各种维生素。我建议你最好采用中药熬治的膏药,百年神贴.此膏药可透入皮肤产生消炎、止痛、活血化淤、通经走络、祛风散寒等。效果非常好的。 "
脚背骨头突起,"考虑是腱鞘囊肿.多发生于关节处,是一种无菌性的炎症致使关节处的鞘膜分泌液(象""果冻""样物体)增多,突出关节腔后外观象个肿物,质硬,硬似软骨.建议手术治疗.谢谢 "
无名指关节位置软骨肿大,
脚跖趾关节疼,"根据你说的情况最好是加强布钙，可以用热毛巾做局部的热敷。我建议你最好采用中药熬治的膏药,百年神贴.此膏药可透入皮肤产生消炎、止痛、活血化淤、通经走络、开窍透骨、祛风散寒等。效果非常好的。 "
,
治疗臀肌挛缩症,可以去医院行松解术既可。 
封闭针多少时间起效,"所谓封闭疗法，通常就是将一定浓度和数量的强的松龙注射液和盐酸普鲁卡因混合注射到病变区域。肌肉、关节、筋膜、肌腱以至椎管内等处都可以进行封闭注射。所用的强的松龙，还有同类药物地塞米松、倍他米松等，属于激素类，注射可立刻见效。骨科医生看重它们用以治疗以上提到的各种疼痛病症，主要是利用其抗炎作用。它们能够改善毛细血管的通透性，抑制炎症反应，减轻致病因子对机体的损害。同时使用的普鲁卡因（又称奴佛卡因），是一种局部麻醉药，拔牙、做小手术时局部麻醉就是用的它，它可以缓解疼痛，增强效果。损伤肿痛：多因打击、压砸，碰撞或颠扑、负重、扭转等外力作用在躯体上所致，症状为局部肿胀、疼痛、瘀斑、肢体活动受限等。病因病机为外力作用，损伤筋肌骨骼，导致经络阻碍，气血凝滞。损伤后受伤部位淤血肿胀,经络不通,气血阻滞.可用中医外科膏药外敷,舒筋活血,消肿止痛,活血散淤,祛风散寒,并通过皮肤传导至经络、筋骨，激发肌体的调节功能，可迅速消除肿痛，促进功能恢复而快速达到治愈目的，无副作用。 "
